file,sheet,row,year,category,asset,side,entry_date,exit_date,pnl,side_norm
Donchian Phi Log - Jun e Jul.xlsx,Trading Log,2,2015,Ações,CIEL3,Long,2015-04-30,,-118.0,Compra/Long
Donchian Phi Log - Jun e Jul.xlsx,Trading Log,3,2015,Ações,CVCB3,Long,2015-05-19,2015-06-15,-89.00000000000023,Compra/Long
Donchian Phi Log - Jun e Jul.xlsx,Trading Log,4,2015,Ações,EQTL3,Long,2015-03-19,2015-07-31,533.0,Compra/Long
Donchian Phi Log - Jun e Jul.xlsx,Trading Log,5,2015,Ações,FLRY3,Long,2015-04-22,2015-07-27,189.99999999999955,Compra/Long
Donchian Phi Log - Jun e Jul.xlsx,Trading Log,6,2015,Ações,LIGT3,Long,2015-04-14,,233.0,Compra/Long
Donchian Phi Log - Jun e Jul.xlsx,Trading Log,7,2015,Ações,ODPV3,Long,2015-05-21,2015-06-16,-172.0,Compra/Long
Donchian Phi Log - Jun e Jul.xlsx,Trading Log,8,2015,Ações,PETR4,Long,2015-05-06,,-133.0,Compra/Long
Donchian Phi Log - Jun e Jul.xlsx,Trading Log,9,2015,Ações,SBSP3,Long,2015-03-24,2015-06-11,-155.0,Compra/Long
Donchian Phi Log - Jun e Jul.xlsx,Trading Log,10,2015,Ações,VLID3,Long,2015-03-12,2015-06-10,455.0,Compra/Long
Donchian Phi Log - Jun e Jul.xlsx,Trading Log,11,2015,Ações,WEGE3,Long,2015-05-15,2015-07-28,372.0000000000009,Compra/Long
Donchian Phi Log - Jun e Jul.xlsx,Trading Log,12,2015,Ações,KROT3,Long,2015-05-22,2015-07-03,-90.0,Compra/Long
Donchian Phi Log - Jun e Jul.xlsx,Trading Log,13,2015,Ações,MYPK3,Long,2015-05-22,2015-07-07,-112.0,Compra/Long
Donchian Phi Log - Jun e Jul.xlsx,Trading Log,14,2015,Ações,LEVE3,Long,2015-05-29,2015-06-16,-94.0,Compra/Long
Donchian Phi Log - Jun e Jul.xlsx,Trading Log,15,2015,Ações,OIBR3,Long,2015-06-01,2015-06-29,-144.0,Compra/Long
Donchian Phi Log - Jun e Jul.xlsx,Trading Log,16,2015,Ações,OIBR4,Long,2015-06-01,2015-06-29,-132.0,Compra/Long
Donchian Phi Log - Jun e Jul.xlsx,Trading Log,17,2015,FIIs,TAEE11,Long,2015-06-05,2015-07-02,3.0,Compra/Long
Donchian Phi Log - Jun e Jul.xlsx,Trading Log,18,2015,Ações,ESTC3,Long,2015-06-12,2015-06-29,-262.9999999999998,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,2,2015,Ações,ODPV3,Long,2015-11-04,2015-11-10,0.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,3,2015,Ações,PETR3,Long,2015-11-04,2015-11-10,-88.00000000000011,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,4,2015,Ações,PETR4,Long,2015-11-04,2015-11-10,-151.99999999999977,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,5,2015,Ações,SLCE3,Long,2015-11-04,2015-11-16,-125.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,6,2015,Ações,ALPA4,Long,2015-11-04,2015-11-24,-1.9999999999997726,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,7,2015,Ações,BVMF3,Long,2015-11-04,2015-11-27,-54.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,8,2015,Ações,ALSC3,Long,2015-11-05,2015-11-30,4.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,9,2015,Ações,FLRY3,Long,2015-11-05,2015-11-17,-82.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,10,2015,Ações,GFSA3,Long,2015-11-05,2015-11-30,-68.00000000000011,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,11,2015,Ações,BRSR6,Long,2015-11-06,2015-11-30,-154.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,12,2015,Ações,DIRR3,Long,2015-11-06,2015-11-24,-96.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,13,2015,Ações,ENBR3,Long,2015-11-06,2015-11-10,-30.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,14,2015,Ações,GETI3,Long,2015-11-06,2015-11-24,-122.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,15,2015,Ações,ABCB4,Long,2015-11-06,2015-12-01,12.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,16,2015,Ações,QUAL3,Long,2015-11-06,2015-11-10,-82.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,17,2015,Ações,RAPT4,Long,2015-11-06,2015-11-17,-140.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,18,2015,Ações,BRIN3F,Long,2015-11-12,2015-12-08,-56.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,19,2015,Ações,CSNA3,Long,2015-11-12,2015-12-03,-13.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,20,2015,Ações,ELET3,Long,2015-11-12,2015-12-01,-45.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,21,2015,Ações,LAME3,Long,2015-11-12,2015-11-30,-47.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,22,2015,Ações,LPSB3,Long,2015-11-12,2015-11-25,-44.00000000000006,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,23,2015,Ações,MRVE3,Long,2015-11-12,2015-11-30,-6.999999999999773,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,24,2015,Ações,POMO4,Long,2015-11-12,2015-11-30,-57.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,25,2015,Ações,ARTR3,Long,2015-11-19,2015-11-30,-11.000000000000114,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,26,2015,Ações,ARTR3,Long,2015-11-23,2015-11-30,-64.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,27,2015,Ações,CCRO3,Long,2015-11-23,2015-11-30,-97.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,28,2015,Ações,ITSA4,Long,2015-11-23,2015-11-27,-84.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,29,2015,FIIs,SANB11,Long,2015-11-23,2015-11-30,-131.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,30,2015,Ações,MRFG3,Long,2015-11-25,2015-11-27,-126.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,31,2015,Ações,GGBR4,Long,2015-11-25,2015-11-30,-62.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,32,2015,Ações,PETR4,Long,2015-11-25,2015-11-30,-76.0,Compra/Long
Donchian Trading Log - Nov e Dez.xlsx,Stocks - Trading Log,33,2015,Ações,PETR3,Long,2015-11-25,2015-11-30,-99.0,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,2,2015,Ações,CVCB3,Long,2015-06-29,2015-07-28,-18.0,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,3,2015,Ações,ELPL4,Long,2015-06-29,2015-07-20,117.0,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,4,2015,Ações,FIBR3,Long,2015-06-29,2015-07-17,-381.99999999999955,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,5,2015,Ações,RADL3,Long,2015-06-29,2015-07-24,330.0,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,6,2015,Ações,ENBR3,Long,2015-07-10,2015-08-17,230.0,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,7,2015,Ações,LAME4,Long,2015-07-14,2015-07-23,-98.99999999999909,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,8,2015,Ações,BEEF3,Long,2015-07-23,2015-07-24,-180.0,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,9,2015,Ações,MPLU3,Long,2015-07-23,2015-07-24,-66.99999999999955,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,10,2015,Ações,WEGE3,Long,2015-07-24,2015-07-28,-156.0,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,11,2015,Ações,GETI3,Long,2015-07-31,2015-08-10,-147.99999999999955,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,12,2015,Ações,VLID3,Long,2015-07-31,2015-08-10,-145.0,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,13,2015,Ações,EQTL3,Long,2015-07-31,2015-08-07,-164.0,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,14,2015,Ações,CVCB3,Long,2015-08-03,2015-08-04,-187.99999999999955,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,15,2015,Ações,PSSA3,Long,2015-08-03,2015-08-06,-274.0,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,16,2015,Ações,FLRY3,Long,2015-08-04,2015-08-06,-264.0,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,17,2015,Ações,WEGE3,Long,2015-08-07,2015-08-12,-54.0,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,18,2015,Ações,RADL3,Long,2015-08-07,2015-08-13,-84.0,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,19,2015,Ações,CTIP3,Long,2015-08-07,2015-08-13,-273.9999999999991,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,20,2015,Ações,BEEF3,Long,2015-08-11,2015-08-24,-132.0,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,21,2015,Ações,MPLU3,Long,2015-08-11,2015-08-19,-134.0,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,22,2015,FIIs,SULA11,Long,2015-08-12,2015-08-19,-150.0,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,23,2015,Ações,GETI3,Long,2015-08-14,2015-08-20,-260.0,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,24,2015,Ações,SMLE3,Long,2015-08-14,2015-08-19,-305.0,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,25,2015,Ações,SUZB5,Long,2015-08-18,2015-08-24,-94.00000000000045,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,26,2015,Ações,FLRY3,Long,2015-08-18,2015-08-21,-177.0,Compra/Long
EMAs Phi3 Log - v1 - Jul e Ago.xlsx,PhiCubed - EMA - 34 72 305 ,27,2015,Ações,MÉDIA/TOTAL,,,,-3071.999999999997,Não informado
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,2,2015,Ações,EVEN3,SHORT,2015-08-20,2015-08-21,-153.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,3,2015,Ações,CYRE3,SHORT,2015-08-20,2015-08-27,-192.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,4,2015,Ações,MULT3,SHORT,2015-08-24,2015-08-27,-245.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,5,2015,Ações,BBDC3,SHORT,2015-08-24,2015-08-26,-154.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,6,2015,Ações,AMAR3,SHORT,2015-08-25,2015-08-27,57.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,7,2015,Ações,ALPA4,SHORT,2015-08-25,2015-08-27,-138.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,8,2015,Ações,BTOW3,SHORT,2015-08-25,2015-08-28,-106.99999999999977,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,9,2015,Ações,BRPR3,SHORT,2015-08-25,2015-09-08,-78.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,10,2015,Ações,ABCB4,SHORT,2015-08-25,2015-09-16,-104.00000000000091,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,11,2015,Ações,EZTC3,SHORT,2015-08-25,2015-08-27,-192.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,12,2015,Ações,BRML3,SHORT,2015-08-25,2015-09-09,-207.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,13,2015,Ações,ESTC3,SHORT,2015-08-25,2015-09-14,-26.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,14,2015,Ações,IGTA3,SHORT,2015-08-25,2015-10-09,-220.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,15,2015,Ações,DIRR3,SHORT,2015-08-28,2015-09-09,-56.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,16,2015,Ações,ALSC3,SHORT,2015-08-28,2015-09-14,120.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,17,2015,Ações,TIMP3,SHORT,2015-08-28,2015-09-09,36.000000000000455,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,18,2015,Ações,OIBR4,SHORT,2015-08-28,2015-09-14,25.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,19,2015,Ações,SMTO3,SHORT,2015-08-28,2015-09-02,-29.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,20,2015,Ações,LIGT3,SHORT,2015-09-01,2015-09-02,-148.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,21,2015,Ações,ELET3,SHORT,2015-09-01,2015-09-03,-181.99999999999955,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,22,2015,Ações,ALPA4,SHORT,2015-09-01,2015-09-08,-230.0,Venda/Short
EMAs Phi3 Log - v2 - Ago Set e Out.xlsx,PhiCubed - EMA - 34 72 305 ,23,2015,Ações,NATU3,SHORT,2015-09-01,2015-10-07,132.0,Venda/Short
